region,value
BOUCLE DU MOUHOUN,0.406463696
CASCADES,0.428460054
CENTRE,0.340198445
CENTRE-EST,0.391328613
CENTRE-NORD,0.265742816
CENTRE-OUEST,0.417726544
CENTRE-SUD,0.408362413
EST,0.346475721
HAUT-BASSINS,0.506126242
NORD,0.310742427
PLATEAU-CENTRAL,0.346711622
SAHEL,0.220412367
SUD-OUEST,0.338104102
BAMAKO,0.0
GAO,0.038733843
KAYES,0.553922147
KIDAL,0.0
KOULIKORO,0.385943159
MOPTI,0.368610167
SÉGOU,1.0
SIKASSO,0.53877268
TIMBUKTU,0.001193891
ADRAR,0.0
ASSABA,0.164964054
BRAKNA,0.141595441
DAKHLET NOUADHIBOU,0.0
GORGOL,0.210219705
GUIDIMAKA,0.205067275
HODH ECH CHARGUI,0.0
HODH EL GHARBI,0.189940823
INCHIRI,0.0
NOUAKCHOTT,0.0
TAGANT,0.263323389
TIRIS ZEMMOUR,0.0
TRARZA,0.272765195
AGADEZ,0.015212757
DIFFA,0.001050048
DOSSO,0.232331136
MARADI,0.193464959
NIAMEY,0.106759723
TAHOUA,0.155789795
TILLABÉRY,0.168140091
ZINDER,0.000699073
ABIA,0.472288789
ADAMAWA,0.353242061
AKWA IBOM,0.51109743
ANAMBRA,0.433140681
BAUCHI,0.518700932
BAYELSA,0.388817128
BENUE,0.437608421
BORNO,0.492602193
CROSS RIVER,0.586436251
DELTA,0.530375169
EBONYI,0.617244385
EDO,0.561844978
EKITI,0.563712051
ENUGU,0.495815629
FEDERAL CAPITAL TERRITORY,0.389329206
GOMBE,0.463997722
IMO,0.461549526
JIGAWA,0.336331965
KADUNA,0.662338933
KANO,0.453793552
KATSINA,0.57250369
KEBBI,0.365560712
KOGI,0.509938062
KWARA,0.442524949
LAGOS,0.57407157
NASSARAWA,0.464368835
NIGER,0.525818247
OGUN,0.504181494
ONDO,0.651050192
OSUN,0.468678349
OYO,0.642764878
PLATEAU,0.534276171
RIVERS,0.519727966
SOKOTO,0.444719982
TARABA,0.417709283
YOBE,0.403825629
ZAMFARA,0.446621577
DAKAR,0.158758699
DIOURBEL,0.156132139
FATICK,0.241378814
KAFFRINE,0.314649183
KAOLACK,0.433060129
KÉDOUGOU,0.442522073
KOLDA,0.484066593
LOUGA,0.350670161
MATAM,0.284143117
SAINT-LOUIS,0.608087387
SÉDHIOU,0.480499305
TAMBACOUNDA,0.303205093
THIÈS,0.123074312
ZIGUINCHOR,0.25114858
