region,value
BOUCLE DU MOUHOUN,0.590909091
CASCADES,0.636363636
CENTRE,0.454545455
CENTRE-EST,0.681818182
CENTRE-NORD,0.5
CENTRE-OUEST,0.454545455
CENTRE-SUD,0.545454545
EST,0.681818182
HAUT-BASSINS,0.636363636
NORD,0.5
PLATEAU-CENTRAL,0.454545455
SAHEL,0.5
SUD-OUEST,0.545454545
BAMAKO,0.545454545
GAO,0.590909091
KAYES,0.545454545
KIDAL,0.681818182
KOULIKORO,0.636363636
MOPTI,0.727272727
SÉGOU,0.590909091
SIKASSO,0.727272727
TIMBUKTU,0.772727273
ADRAR,0.636363636
ASSABA,0.5
BRAKNA,0.5
DAKHLET NOUADHIBOU,0.772727273
GORGOL,0.545454545
GUIDIMAKA,0.454545455
HODH ECH CHARGUI,0.772727273
HODH EL GHARBI,0.545454545
INCHIRI,0.590909091
NOUAKCHOTT,0.363636364
TAGANT,0.590909091
TIRIS ZEMMOUR,0.772727273
TRARZA,0.545454545
AGADEZ,1.0
DIFFA,0.681818182
DOSSO,0.681818182
MARADI,0.454545455
NIAMEY,0.590909091
TAHOUA,0.545454545
TILLABÉRY,0.590909091
ZINDER,0.545454545
ABIA,0.772727273
ADAMAWA,0.681818182
AKWA IBOM,0.5
ANAMBRA,0.681818182
BAUCHI,0.863636364
BAYELSA,0.727272727
BENUE,0.545454545
BORNO,0.590909091
CROSS RIVER,0.863636364
DELTA,0.681818182
EBONYI,0.863636364
EDO,0.636363636
EKITI,0.454545455
ENUGU,0.727272727
FEDERAL CAPITAL TERRITORY,0.727272727
GOMBE,0.590909091
IMO,0.545454545
JIGAWA,0.636363636
KADUNA,0.863636364
KANO,0.772727273
KATSINA,0.818181818
KEBBI,0.727272727
KOGI,0.727272727
KWARA,0.818181818
LAGOS,0.5
NASSARAWA,1.0
NIGER,0.818181818
OGUN,0.545454545
ONDO,0.545454545
OSUN,0.5
OYO,0.727272727
PLATEAU,0.772727273
RIVERS,0.727272727
SOKOTO,0.590909091
TARABA,0.727272727
YOBE,0.590909091
ZAMFARA,0.909090909
DAKAR,0.181818182
DIOURBEL,0.181818182
FATICK,0.227272727
KAFFRINE,0.318181818
KAOLACK,0.181818182
KÉDOUGOU,0.545454545
KOLDA,0.363636364
LOUGA,0.5
MATAM,0.545454545
SAINT-LOUIS,0.545454545
SÉDHIOU,0.181818182
TAMBACOUNDA,0.409090909
THIÈS,0.318181818
ZIGUINCHOR,0.272727273
