region,value
BOUCLE DU MOUHOUN,0.474695958
CASCADES,0.474695958
CENTRE,0.474695958
CENTRE-EST,0.474695958
CENTRE-NORD,0.474695958
CENTRE-OUEST,0.474695958
CENTRE-SUD,0.474695958
EST,0.474695958
HAUT-BASSINS,0.474695958
NORD,0.474695958
PLATEAU-CENTRAL,0.474695958
SAHEL,0.474695958
SUD-OUEST,0.474695958
BAMAKO,1
GAO,1
KAYES,1
KIDAL,1
KOULIKORO,1
MOPTI,1
S�GOU,1
SIKASSO,1
TIMBUKTU,1
ADRAR,0.872231452
ASSABA,0.872231452
BRAKNA,0.872231452
DAKHLET NOUADHIBOU,0.872231452
GORGOL,0.872231452
GUIDIMAKA,0.872231452
HODH ECH CHARGUI,0.872231452
HODH EL GHARBI,0.872231452
INCHIRI,0.872231452
NOUAKCHOTT,0.872231452
TAGANT,0.872231452
TIRIS ZEMMOUR,0.872231452
TRARZA,0.872231452
AGADEZ,0.860964297
DIFFA,0.860964297
DOSSO,0.860964297
MARADI,0.860964297
NIAMEY,0.860964297
TAHOUA,0.860964297
TILLAB�RY,0.860964297
ZINDER,0.860964297
ABIA,0.59842402
ADAMAWA,0.59842402
AKWA IBOM,0.59842402
ANAMBRA,0.59842402
BAUCHI,0.59842402
BAYELSA,0.59842402
BENUE,0.59842402
BORNO,0.59842402
CROSS RIVER,0.59842402
DELTA,0.59842402
EBONYI,0.59842402
EDO,0.59842402
EKITI,0.59842402
ENUGU,0.59842402
FEDERAL CAPITAL TERRITORY,0.59842402
GOMBE,0.59842402
IMO,0.59842402
JIGAWA,0.59842402
KADUNA,0.59842402
KANO,0.59842402
KATSINA,0.59842402
KEBBI,0.59842402
KOGI,0.59842402
KWARA,0.59842402
LAGOS,0.59842402
NASSARAWA,0.59842402
NIGER,0.59842402
OGUN,0.59842402
ONDO,0.59842402
OSUN,0.59842402
OYO,0.59842402
PLATEAU,0.59842402
RIVERS,0.59842402
SOKOTO,0.59842402
TARABA,0.59842402
YOBE,0.59842402
ZAMFARA,0.59842402
DAKAR,0
DIOURBEL,0
FATICK,0
KAFFRINE,0
KAOLACK,0
K�DOUGOU,0
KOLDA,0
LOUGA,0
MATAM,0
SAINT-LOUIS,0
S�DHIOU,0
TAMBACOUNDA,0
THI�S,0
ZIGUINCHOR,0
